# Rs[sm3/sm3]	Pbub[Pa]	Bo[m3/sm3]	Visc(Pa.s)
0.0	11541823.218	1.3001	0.000529
		13993251.467	1.2800	0.000550
		17443735.210	1.2500	0.000580
		20622218.187	1.2200	0.000610
		24497071.621	1.1900	0.000640
		28337451.270	1.1600	0.000670
		31330775.808	1.1300	0.000700
		33925625.795	1.1000	0.000730
		36231948.035	1.0800	0.000760
		38231427.565	1.0600	0.000790
		48263299.000	1.0000	0.000850
5.0	13993251.467	1.3200	0.000480
		17443735.210	1.2900	0.000510
		20622218.187	1.2600	0.000540
		24497071.621	1.2300	0.000570
		28337451.270	1.2000	0.000600
		31330775.808	1.1700	0.000630
		33925625.795	1.1400	0.000660
		36231948.035	1.1200	0.000690
		38231427.565	1.1000	0.000720
		48263299.000	1.0400	0.000780
10.0	17443735.210	1.3500	0.000450
		20622218.187	1.3200	0.000480
		24497071.621	1.2900	0.000510
		28337451.270	1.2600	0.000540
		31330775.808	1.2300	0.000570
		33925625.795	1.2000	0.000600
		36231948.035	1.1800	0.000630
		38231427.565	1.1600	0.000660
		48263299.000	1.1000	0.000720
